"Year","Month","DateTime","ET","GPP","Tr","T_ET"
2015,8,2015-08-16 11:45:00,152.480092456467,306.1749324629,131.685228611817,0.863622434183751
2015,9,2015-09-15 23:45:00,123.965082243162,235.541845721607,101.306078691656,0.817214628978675
2015,10,2015-10-16 11:45:00,75.5300676242688,171.957338848479,73.9585089334035,0.979192939443889
2015,11,2015-11-15 23:44:50,45.7895989483645,57.4526989640913,24.7102913899361,0.539648565557457
2015,12,2015-12-16 11:45:00,29.8783397705824,-0.94006240688595,-0.40431896878152,NA
2016,1,2016-01-16 11:45:00,22.715556179682,-11.4677841170429,-4.93227110716109,NA
2016,2,2016-02-15 11:45:00,19.6546810677301,4.82230909441325,2.07406553641227,0.105525270507571
2016,3,2016-03-16 12:15:00,30.5750358694404,4.67784592617607,2.01193221549578,0.0658031023769523
2016,4,2016-04-15 23:45:00,51.9290037151588,59.2577131768977,25.4866244076295,0.490797484724121
2016,5,2016-05-16 11:45:00,89.2475297868618,165.440348359214,71.1555643045388,0.797283291475633
2016,6,2016-06-15 23:45:00,164.032972485803,258.108826488417,111.012092170457,0.676766935867517
2016,7,2016-07-16 11:45:00,186.525514819637,327.409539752429,140.818190911866,0.754954039655284
2016,8,2016-08-16 11:45:00,160.597946360262,319.773416645345,137.53390957317,0.856386477474916
2016,9,2016-09-15 23:45:00,127.450486224379,248.668794191144,106.951953082095,0.839164731735933
2016,10,2016-10-16 11:45:00,59.8303811729222,122.015471861627,52.4786114167726,0.877123133564845
2016,11,2016-11-15 23:34:50,27.8262775294374,22.1689070227868,9.53480275438138,0.342654627241984
2016,12,2016-12-16 11:45:00,19.128661284287,1.24250912900038,0.534400701548324,0.0279371720585226
2017,1,2017-01-16 11:45:00,21.4556230973289,-1.19234459205071,-0.512825034124202,NA
2017,2,2017-02-14 23:45:00,37.3916559590254,4.51582081312207,1.94224553709353,0.0519432875404579
2017,3,2017-03-16 12:15:00,35.3609379813911,15.9396014911238,6.85559085276924,0.193874688968291
2017,4,2017-04-15 23:45:00,47.7734357786316,70.5278043736599,30.3338681835434,0.63495261936156
2017,5,2017-05-16 11:45:00,83.255497518459,183.986073016682,79.1320435402662,0.950472291907468
2017,6,2017-06-15 23:45:00,147.429000795146,284.761919087918,122.475534209764,0.830742483155978
2017,7,2017-07-16 11:45:00,185.843902900051,358.079099527468,154.009107483357,0.82870142673545
2017,8,2017-08-16 11:45:00,150.890202482019,352.988923076175,151.819832730289,NA
2017,9,2017-09-15 23:45:00,117.871227748985,295.598934376222,127.136512900053,NA
2017,10,2017-10-16 11:45:00,77.476190085843,191.523116297511,82.3737108430371,NA
2017,11,2017-11-15 23:36:50,28.2057759524201,55.9406816904096,24.0599757721678,0.853015914639405
2017,12,2017-12-16 11:45:00,14.0863302713717,12.4705777698495,5.36357065986472,0.380764227200136
2018,1,2018-01-16 11:45:00,19.6590741125148,3.42084737829373,1.47129964374641,0.0748407394634007
2018,2,2018-02-14 23:45:00,16.1778586198733,-1.7537396654087,-0.754279936986479,NA
2018,3,2018-03-16 12:15:00,31.2787018435627,-6.00941797597885,-2.58463870188533,NA
2018,4,2018-04-15 23:45:00,31.8108908606358,24.4198119199843,10.5029124673045,0.330167190642915
2018,5,2018-05-16 11:45:00,58.8781542036133,112.332145821574,48.3138321742337,0.820573145128737
2018,6,2018-06-15 23:45:00,139.904168234727,250.580774572036,107.774292035626,0.770343681646466
2018,7,2018-07-16 11:45:00,193.818058784602,367.753669631103,158.170120815082,0.816075250195663
2018,8,2018-08-16 11:45:00,164.860675025814,382.391711844021,164.465913614746,0.99760548468574
2018,9,2018-09-15 23:45:00,138.046852267819,304.615594067329,131.014560273779,0.949058657415834
2018,10,2018-10-16 11:45:00,82.2042606232,217.034322110177,93.3460296497411,NA
2018,11,2018-11-15 23:38:50,39.1327668172155,62.4391293519666,26.8549451677689,0.686252144991567
2018,12,2018-12-16 11:45:00,19.8427738282635,-12.7078445058987,-5.46561861045063,NA
2019,1,2019-01-16 11:45:00,17.6800344447849,-11.8326752512377,-5.08921005718664,NA
2019,2,2019-02-14 23:45:00,34.1061488755817,0.95377564747673,0.410217006245526,0.0120276554160948
2019,3,2019-03-16 12:15:00,34.7620748058465,5.63975161896679,2.42564593803739,0.0697785144179437
2019,4,2019-04-15 23:45:00,29.4077035245345,25.4821051543681,10.959802671533,0.37268475120437
2019,5,2019-05-16 11:45:00,51.4380856354831,72.3866178834366,31.1333401717061,0.605258531437834
2019,6,2019-06-15 23:45:00,112.178623530976,196.191704412854,84.3816612925332,0.752208028914107
2019,7,2019-07-16 11:45:00,140.204568136609,247.272552321959,106.351432235199,0.758544701136803
2019,8,2019-08-16 11:45:00,133.659535635969,226.161099106734,97.2714382572087,0.727755320968151
2019,9,2019-09-15 23:45:00,104.570466468705,207.305516792997,89.1616898606962,0.852646955413362
2019,10,2019-10-16 11:45:00,64.2978363143917,98.9782499425146,42.5703481549946,0.662080570594039
2019,11,2019-11-15 23:40:52,27.6886628374812,29.5874729280122,12.7255131738891,0.459592911675858
2019,12,2019-12-16 11:45:00,25.3329809116659,2.96691545781112,1.27606442889028,0.0503716650377553
2020,1,2020-01-16 11:45:00,18.228099067645,-29.8602086940017,-12.842816283605,NA
2020,2,2020-02-15 11:45:00,14.8353314343346,-4.52311547657986,-1.94538295731719,NA
2020,3,2020-03-16 12:15:00,15.7351210548149,-10.3017789751546,-4.43077461808873,NA
2020,4,2020-04-15 23:45:00,37.1522729918671,11.8746820761407,5.10727710890806,0.137468765639887
2020,5,2020-05-16 11:45:00,72.6984116918637,107.420837607044,46.201488293528,0.635522664365153
2020,6,2020-06-15 23:45:00,154.816548078501,287.181391757249,123.516144585728,0.797822623735923
2020,7,2020-07-16 11:45:00,193.305238112702,387.241274163958,166.551700709173,0.861599521747406
2020,8,2020-08-16 11:45:00,170.194732031382,390.844530228886,168.101453965718,0.987700688260562
2020,9,2020-09-15 23:45:00,108.913469457078,291.884928222373,125.539126250855,NA
2020,10,2020-10-16 11:45:00,76.50148533091,191.431972222778,82.3345099580356,NA
2020,11,2020-11-15 23:44:52,39.2633005582718,49.6745428322853,21.3649219302094,0.544144828030977
2020,12,2020-12-16 11:45:00,17.3042089547385,-23.1592275733174,-9.9607376506401,NA
